,name,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var
736,dog_barking_7__r3,0.5670763850212097,0.1065259650349617,0.08099564164876938,0.016025960445404053,1350.0392179777105,152288.09473333825,1442.8573402682448,43842.37578767347,2547.389086787565,386600.20631327236,0.0662240932642487,0.0013921756693691455,0.0001370624522678554,0.0033609517849981785,0.0003131372213829309,0.013665566220879555,135.99917763157896,-257.12139892578125,5366.4091796875,120.10001373291016,374.03375244140625,-24.332416534423828,1445.361083984375,11.311555862426758,227.98838806152344,8.74937915802002,468.8912658691406,13.22791576385498,146.57582092285156,6.320451736450195,69.83061218261719,6.67659854888916,180.03585815429688,11.263928413391113,125.95709228515625,12.651579856872559,152.65594482421875,2.8992908000946045,141.99342346191406,0.9125770926475525,311.94903564453125,2.615145444869995,180.83407592773438,6.166627407073975,145.67173767089844,11.746623992919922,165.9958038330078,1.1027425527572632,73.42243194580078,4.762356758117676,64.68685913085938,0.6760972738265991,68.5495834350586,0.07903764396905899,78.16986846923828,-1.2002538442611694,124.01580047607422
737,dog_barking_7__r5,0.5288804769515991,0.10073558241128922,0.060232434421777725,0.008014971390366554,1222.7088803569884,229388.5536869288,1542.0659043242222,70505.11461979445,2489.818450453368,1015347.6758532764,0.04924809747409326,0.0019758936318683227,7.153473416110501e-05,0.0016975074540823698,0.0002997763513121754,0.007132846862077713,143.5546875,-329.69757080078125,9315.3125,100.12267303466797,522.2514038085938,-0.5631470084190369,3119.310302734375,26.457435607910156,304.700439453125,6.37931489944458,398.2826232910156,14.891654968261719,188.9059600830078,15.03052806854248,94.76797485351562,16.343189239501953,186.29005432128906,15.256633758544922,199.73915100097656,13.550389289855957,232.33453369140625,6.466554164886475,199.64414978027344,2.7713623046875,394.5183410644531,2.175525188446045,207.09002685546875,5.897571086883545,171.82215881347656,10.943523406982422,239.74530029296875,0.04088205099105835,80.26498413085938,3.157146453857422,69.32449340820312,-1.1100260019302368,68.4337158203125,-0.8942205905914307,86.76932525634766,-0.7614518404006958,161.0977325439453
738,dog_barking_7__r7,0.5225086808204651,0.09308954328298569,0.049748849123716354,0.0024264303501695395,1076.0873552377013,187997.367009898,1381.0122690056276,35110.54088469273,2326.1437925032383,615264.2668054588,0.04541015625,0.0014984200037822823,-9.088226943276823e-05,0.0008577553671784699,0.00038863150984980166,0.0026832758449018,143.5546875,-311.11865234375,4008.2080078125,126.09578704833984,258.78271484375,-13.622228622436523,1268.770263671875,50.91095733642578,219.4905548095703,12.445269584655762,277.04888916015625,13.03136157989502,104.04498291015625,23.939931869506836,79.42107391357422,14.766976356506348,176.92491149902344,16.400188446044922,147.23963928222656,14.552562713623047,141.7379913330078,1.8636497259140015,132.9275360107422,1.4116384983062744,320.0684814453125,0.882060170173645,182.16355895996094,2.4009885787963867,132.36181640625,8.21498966217041,166.38583374023438,-0.7128092050552368,57.75886917114258,1.5218102931976318,57.69966506958008,-2.0909688472747803,63.06708526611328,-1.3885760307312012,68.93988800048828,-3.2516324520111084,136.07789611816406
739,dog_barking_7__r9,0.5722686052322388,0.0846969336271286,0.035373616963624954,0.00022171573073137552,860.048714372253,197759.66663826158,1281.761230388632,28574.926993053632,1694.5961433371115,1039611.2403827322,0.03216078367875648,0.0010031325797458094,9.152940037893131e-05,0.0006452829111367464,0.00021915404067840427,0.0003765549627132714,143.5546875,-365.02630615234375,3451.33203125,146.387939453125,146.29556274414062,-13.378960609436035,1024.084716796875,61.50182342529297,176.81765747070312,3.2820446491241455,152.5047149658203,23.53645896911621,48.444908142089844,19.939579010009766,51.10774230957031,10.679603576660156,152.97943115234375,20.865503311157227,70.80180358886719,5.38826847076416,148.46749877929688,10.307757377624512,131.12139892578125,3.2435379028320312,200.090087890625,1.8189170360565186,108.70780944824219,8.655121803283691,87.98186492919922,3.852358818054199,153.54054260253906,3.2916994094848633,57.04069137573242,0.9199696183204651,60.13762283325195,-1.7335402965545654,70.1672592163086,0.6937273144721985,51.20243835449219,-6.244255542755127,92.07972717285156
740,dog_barking_97__r1,0.4337524175643921,0.10052304714918137,0.0807974636554718,0.00942148920148611,855.7082880191758,18036.10421973318,981.5047725612416,103503.79760058271,1475.4856126523264,317030.2608903361,0.046981022664327916,0.00029804614348840085,-1.1053538173655397e-06,0.002467962447553873,-3.565896122381673e-06,0.00963238999247551,151.99908088235293,-334.3584899902344,10425.720703125,158.54222106933594,2193.967529296875,8.6159029006958,1605.7906494140625,-11.467272758483887,1149.867431640625,-12.732681274414062,667.1027221679688,-3.6439249515533447,104.43671417236328,-11.344066619873047,444.75933837890625,-5.63334321975708,162.8115997314453,7.363415241241455,93.01612091064453,7.156415939331055,76.16414642333984,9.2547025680542,71.1354751586914,5.891013145446777,66.76081085205078,-2.249333143234253,41.90372085571289,-1.4842398166656494,27.227489471435547,5.702967643737793,50.022064208984375,8.008033752441406,52.634761810302734,5.673672199249268,39.384559631347656,0.6016163229942322,31.53472900390625,3.7128703594207764,47.20132064819336,-0.2631199061870575,35.65826416015625
741,dog_barking_97__r3,0.4660319983959198,0.10345001518726349,0.06596313416957855,0.0054068355821073055,1007.732639790232,34374.18389843691,1136.6009226265003,120934.11605454974,2042.7916849381463,778907.8705013309,0.05131064207902511,0.00022373037496249218,-3.715618731803261e-05,0.0015555763384327292,3.0513425372191705e-05,0.005833969451487064,143.5546875,-308.2586364746094,5068.314453125,160.6190185546875,1420.387451171875,-10.806550025939941,643.9794311523438,8.26016616821289,935.84326171875,-24.095794677734375,327.8127746582031,-4.755886077880859,82.28356170654297,2.3254456520080566,442.52178955078125,-10.860433578491211,74.39614868164062,7.861634731292725,71.06722259521484,8.922364234924316,53.919151306152344,8.825225830078125,73.53580474853516,4.921367645263672,57.76285934448242,-0.9269384741783142,33.5338249206543,2.677851676940918,35.68575668334961,4.525735378265381,52.179847717285156,9.556571006774902,45.89545822143555,6.5753092765808105,32.65444564819336,1.6662389039993286,27.745214462280273,6.7464141845703125,37.60230255126953,0.040312908589839935,29.749908447265625
742,dog_barking_97__r5,0.5309728980064392,0.09895167499780655,0.060078658163547516,0.00214942405000329,899.6858968235875,8273.164770517727,989.1627352598516,26682.088056218006,1630.5278558322564,74664.11766222533,0.05094136586041359,0.0001295677148303985,-1.4762319551664405e-05,0.0010187554871663451,0.00012914396938867867,0.003136250888928771,123.046875,-267.5996398925781,1450.8609619140625,193.25369262695312,380.1053771972656,-34.1475715637207,75.26376342773438,14.058633804321289,265.9696960449219,-6.362912178039551,319.8721923828125,8.360374450683594,95.92606353759766,2.671722888946533,176.1049041748047,-7.970890045166016,33.115474700927734,15.745274543762207,51.67743682861328,6.763922691345215,68.37731170654297,10.7007417678833,54.784332275390625,6.894425868988037,26.295812606811523,-0.33410027623176575,32.73492431640625,4.4445085525512695,34.2681999206543,1.790814995765686,40.39091110229492,7.054369926452637,28.000253677368164,3.2812161445617676,26.103893280029297,0.27396535873413086,23.7054500579834,4.935327529907227,21.161643981933594,-2.655435085296631,18.871475219726562
743,dog_barking_97__r7,0.5416461229324341,0.0964585691690445,0.04465828463435173,0.0006079250015318394,1073.6955642891296,23129.466171505013,1287.5763219139749,44848.83479728543,2363.1179606720825,436871.61072779424,0.04705675313884786,0.00019538215834846284,2.136586408596486e-05,0.0007177666411735117,-1.3039574696449563e-05,0.001117040286771953,151.99908088235293,-283.9845275878906,962.1177978515625,178.0250701904297,311.8857421875,-44.22734832763672,74.42872619628906,46.052669525146484,325.5384826660156,-25.235029220581055,215.01998901367188,2.985105514526367,51.85009765625,10.665923118591309,129.56463623046875,-11.50833511352539,27.00318717956543,21.27288055419922,36.7092399597168,3.0483341217041016,82.22789764404297,15.676219940185547,50.12345504760742,8.429847717285156,28.750675201416016,-2.5466296672821045,26.047428131103516,12.712904930114746,40.369834899902344,0.38283389806747437,38.961238861083984,10.65416431427002,20.294334411621094,6.240494251251221,22.149459838867188,0.43584969639778137,20.48858070373535,10.32001781463623,19.244699478149414,-3.857927083969116,20.793725967407227
744,dog_barking_97__r9,0.6422288417816162,0.05971115082502365,0.0407213531434536,0.00011675014684442431,1153.0287124106417,14790.966945996195,1173.4884925225,6098.538519556704,2229.704341015048,53795.982652840685,0.06741598966026588,0.00011490397631015722,-7.939207716844976e-05,0.00046470778761431575,9.52404152485542e-05,0.0005510146147571504,143.5546875,-248.70982360839844,356.1753234863281,198.9762725830078,113.6127700805664,-76.02030944824219,46.31437301635742,48.677276611328125,58.147064208984375,-0.6004230976104736,72.8497314453125,15.754363059997559,51.56679916381836,11.28333854675293,33.06049346923828,-14.165230751037598,23.940303802490234,21.916728973388672,26.872173309326172,-3.331479787826538,32.40322494506836,10.128037452697754,27.941669464111328,3.114821195602417,18.91291046142578,-4.852565288543701,19.03703498840332,10.441360473632812,25.09183120727539,-6.3498921394348145,19.057846069335938,6.927864074707031,15.466472625732422,0.9887885451316833,19.00398826599121,-0.0007787842769175768,18.796878814697266,6.837018013000488,15.7750244140625,-5.064662933349609,15.827513694763184
745,dog_barking_73__r1,0.23037733137607574,0.10020898282527924,0.0565560944378376,0.002403835067525506,1021.8424902822288,42644.95182405528,943.1882580609874,20513.06983108493,1652.783203125,88459.14602279663,0.06318757971938775,0.00032657427074808914,-0.00014347575779538602,0.0009907394414767623,1.3366930943448097e-05,0.00396977923810482,135.99917763157896,-317.6344299316406,6223.6064453125,171.90963745117188,362.4178466796875,-38.049381256103516,1575.2255859375,-12.485998153686523,136.0536346435547,4.6302642822265625,166.66917419433594,-6.151680946350098,104.88994598388672,-6.4786696434021,119.89878845214844,1.8601603507995605,80.87261962890625,-6.849602699279785,102.11288452148438,8.873863220214844,170.54051208496094,12.607698440551758,190.23321533203125,3.262086868286133,85.71868133544922,3.042877435684204,119.1294174194336,7.524837493896484,90.29270935058594,-0.32064342498779297,170.13546752929688,-15.61558723449707,48.903404235839844,-3.567018508911133,237.3960418701172,-2.626866579055786,76.69268035888672,-1.7368816137313843,50.416534423828125,3.8417463302612305,124.29229736328125
